id,t-search,t-entry,e-entry,t-cat,t-syn,t-sample,t-ant,t-def,e-related,t-num,notes
0,ดังกล่าวข้างต้น,ดังกล่าวข้างต้น,abovementioned,PRON,ดังกล่าว,หน่วยงานของเราสามารถรับบทบาทได้เป็นอย่างดี ตามสภาพความพร้อมด้านต่างๆ ดังกล่าวข้างต้น,,,,,
1,การงดออกเสียง,การงดออกเสียง,abstention,N,,,การออกเสียง,การไม่แสดงความเห็นตามสิทธิ,,,
2,ตามกฎหมาย,ตามกฎหมาย,according to law,ADV,โดยชอบด้วยกฎหมาย,หนังสือลาออกของนายพรพจน์ยังไม่ทันมีผลตามกฎหมาย เรื่องราวก็จบลงเสียก่อน,,ถูกต้องตามกฎหมาย,according to the law; legally,,
3,เทคโนโลยีสมัยใหม่,เทคโนโลยีสมัยใหม่,advanced technologies,N,เทคโนโลยีทันสมัย,คอมพิวเตอร์เป็นปัจจัยสำคัญในการพัฒนาเทคโนโลยีสมัยใหม่เกือบทุกชนิด,เทคโนโลยีรุ่นเก่า,,,ชนิด,
4,ระเบียบวาระการประชุม,ระเบียบวาระการประชุม,agenda,N,"วาระการประชุม, ระเบียบวาระ",ระเบียบวาระการประชุมนี้จะผูกพันให้ทั้งสองฝ่ายต้องเจรจา เฉพาะในเรื่องที่อยู่ในระเบียบวาระการประชุมนั้นเท่านั้น,,ลำดับรายการการประชุมที่กำหนดไว้,,วาระ,
5,ฮอร์โมนเพศชาย,ฮอร์โมนเพศชาย,testosterone,N,,ถ้าเทียบระหว่างเด็กหญิงกับเด็กชาย ฮอร์โมนเพศหญิงเป็นฮอร์โมนแห่งความรัก ส่วนฮอร์โมนเพศชายเป็นฮอร์โมนเรื่องของความใคร่,ฮอร์โมนเพศหญิง,สารที่สร้างขึ้นโดยต่อมไร้ท่อของร่างกายในเพศชาย,,ชนิด,
6,เอเชีย,เอเชีย,Asia,N,ทวีปเอเชีย,ประชากรสหรัฐอเมริกาในสมัยบุกเบิกอพยพมาจากยุโรปและเอเชียเป็นจำนวน,,ชื่อทวีป,,,
7,เอเชีย,เอเชีย,Asia,ADJ,ทวีปเอเชีย,ปานน้ำเงินมักพบในเด็กที่มีเชื้อชาติเอเชีย,,เกี่ยวกับทวีปเอเชีย,,,
8,อาเชี่ยน,อาเชี่ยน,Asian,N,,นักขายจากทั่วอาเซียนต่างมารวมตัวกัน ณ สำนักงานในเมืองปักกิ่ง,,ภูมิภาคเอเซียตะวันออกเฉียงใต้,,,
9,อาเชี่ยน,อาเชี่ยน,Asian,ADJ,,เขาได้รับเหรียญทอง 2 เหรียญในการแข่งขันกีฬามหาวิทยาลัยอาเซี่ยน,,เกี่ยวกับภูมิภาคในแถบเอเซียตะวันออกเฉียงใต้,,,
10,เป็นหลักประกัน,เป็นหลักประกัน,assure,V,เป็นประกัน,การใช้จ่ายโดยประหยัดนั้น จะเป็นหลักประกันความสมบูรณ์พูนสุขของผู้ประหยัดเองและครอบครัว,,,,,
11,แต่บางที,แต่บางที,at other times,ADV,"บางที, บางคราว, บางครั้ง",ชาวไร่ควรจะแบ่งชนิดของฝ้ายตั้งแต่ตอนเก็บจากไร่ แต่บางทีชาวไร่อาจเก็บรวมกันก่อนที่จะแบ่งก็ได้,"เสมอ, สม่ำเสมอ",,,,
12,ในบางกรณี,ในบางกรณี,at some point,DET,บางกรณี,ในบางกรณี ภาษีนำเข้าของวัตถุที่ยังประกอบไม่เสร็จกลับมีอัตราสูงกว่าผลิตภัณฑ์สำเร็จรูป,"ในทุกกรณี, ทุกกรณี",,,,
13,อำนาจหน้าที่,อำนาจหน้าที่,authority and function,N,,การขอยกเว้นภาษีดอกเบี้ยเงินกู้ต่างประเทศนั้น เป็นอำนาจหน้าที่ของกระทรวงการคลังที่จะพิจารณา,,อำนาจและหน้าที่,,,
14,รถยนต์เกียร์อัตโนมัติ,รถยนต์เกียร์อัตโนมัติ,automatic transmission car,N,"รถยนต์เกียร์ออโต้, รถเกียร์ออโต้",รถยนต์เกียร์อัตโนมัติมีราคาสูงกว่ารถยนต์เกียร์ธรรมดา,"รถยนต์เกียร์ธรรมดา, รถยนต์เกียร์กระปุก",รถยนต์ที่ขับเคลื่อนด้วยเกียร์อัตโนมัติ,,คัน,
15,เจตนาไม่บริสุทธิ์,เจตนาไม่บริสุทธิ์,bad faith,N,เจตนาร้าย,,เจตนาบริสุทธิ์,,,,
16,บาร์โค้ด,บาร์โค้ด,bar code,N,,บาร์โคดเป็นรหัสสินค้าเพื่อให้การซื้อ-ขายเร็วขึ้น,,รหัสที่สามารถอ่านเป็นตัวเลขและข้อมูลด้วยเครื่องคอมพิวเตอร์ได้,bar-code; barcode,อัน,
17,ไบโอเทคโนโลยี,ไบโอเทคโนโลยี,biotechnology,N,,,,เทคโนโลยีแขนงหนึ่งที่เกี่ยวกับการนำเอาระบบของสิ่งมีชีวิตเล็กๆ มาใช้ในกระบวนการแปรรูปเพื่อประโยชน์ทางด้านอุตสาหกรรม การแพทย์ หรือวิทยาศาสตร์แขนงอื่นๆ,,,
18,สาขาสำนักงาน,สาขาสำนักงาน,branch office,N,"สาขา, สาขาย่อย",ธนาคารแห่งประเทศไทยมีสาขาสำนักงานในส่วนภูมิภาค 3 แห่งคือสาขาภาคใต้ สาขาภาคตะวันออกเฉียงเหนือ และสาขาภาคเหนือ,,สำนักงานที่แยกออกมาจากสำนักงานใหญ่,,สาขา,
19,หลักพระพุทธศาสนา,หลักพระพุทธศาสนา,Buddhist principles,N,,การบูชาปูชนียบุคคลนับว่าเป็นมงคลอันสูงสุดประการหนึ่งตามหลักพระพุทธศาสนา,,สาระสำคัญของศาสนาพุทธ,,,
20,กรณีจำเป็น,กรณีจำเป็น,case of necessity,N,เรื่องจำเป็น,การแจ้งเกิดต้องแจ้งภายใน 15 วัน กรณีจำเป็น แจ้งภายหลังได้ แต่ไม่เกิน 30 วัน นับแต่วันเกิด,,,,กรณี,
21,คำรับสารภาพ,คำรับสารภาพ,confession,N,,เขาถูกจับตัวมาทรมานอย่างสาหัสสากรรจ์ จนกว่าคำรับสารภาพจะหลุดออกมาจากปาก,,คำพูดที่ยอมบอกว่าได้กระทำผิดตามข้อกล่าวหา,,,
22,ร่างสัญญา,ร่างสัญญา,draft contract,N,,นายกรัฐมนตรีได้ย้ำว่า ร่างสัญญาของโครงการนี้จะใช้เวลาภายในหนึ่งเดือนจะเสร็จเรียบร้อย,,,,ฉบับ,
23,อี-คอมเมิร์ช,อี-คอมเมิร์ช,E-Commerce,N,พาณิชย์อิเล็กทรอนิกส์,อี-คอมเมิร์ชจะช่วยให้บริษัทเข้าใจ และตอบสนองความต้องการของลูกค้าและคู่ค้าแต่ละรายได้ดีขึ้น โดยไม่จำกัดเวลา สถานที่หรืออุปกรณ์ใดๆ,,,,,
24,อุดฟัน,อุดฟัน,fill teeth,V,,บริการทันตสาธารณสุขเบื้องต้นที่กระทรวงสาธารณสุขกำหนด คือ ให้บริการรักษาเบื้องต้น โดยการใช้ยา ใส่ยาแก้ปวด อุดฟันชั่วคราว และขูดหินปูน,,ทำให้ฟันหายเป็นรู,,,
25,คำพิพากษาถึงที่สุด,คำพิพากษาถึงที่สุด,final judgment,N,,ศาลมีคำพิพากษาถึงที่สุดว่าการสมรสของบุคคลคู่นี้ เป็นโมฆะแล้ว,,คำวินิจฉัยชี้ขาดของศาลในประเด็นแห่งคดีที่ฟ้องต่อศาล ซึ่งเป็นคำตัดสินสุดท้าย ไม่มีผู้ใดร้องเรียนได้,,,
26,เพื่อประโยชน์ของ,เพื่อประโยชน์ของ,for the benefit of,V,,ทหารเหล่านี้ได้ต้อนบังคับให้ชาวบ้านโยกย้ายออกจากพื้นที่ เพื่อประโยชน์ของโครงการท่อส่งก๊าซ,,,,,
27,ริบทรัพย์สิน,ริบทรัพย์สิน,forfeiture of property,V,ยึดทรัพย์สิน,โทษอาญาที่บัญญัติไว้ในประมวลกฎหมายอาญา ได้แก่ ประหารชีวิต จำคุก กักขัง ปรับ และริบทรัพย์สิน,คืนทรัพย์สิน,รวบเอาทรัพย์สินมาเสียหมดโดยพลการหรือโดยอำนาจกฎหมาย,,,
